id,N,time_steps,train_time,model,Ts,Tt,vi_reward,rl_reward,vi_ns,rl_ns,vi_distance,rl_distance,distribution
1,300,300000,0 days 00:12:29.398652000,ACER,1,750,-400.3863,-422.19515,14.5753,45.8639,155.1758,161.0945,truncnorm
25,300,300000,0 days 00:11:29.314719000,ACER,1,500,-272.2263999999981,-298.9091666666683,12.8139,27.5305,159.1309,163.827,truncnorm
104,300,300000,0 days 00:11:40.549587000,ACER,1,400,-221.82316666666497,-224.95680000000215,11.6201,13.9444,157.6523,160.1258,truncnorm
105,300,300000,0 days 01:10:39.413625000,ACER,1,300,-169.0984,-174.6936,10.7161,12.2197,160.9034,162.4739,truncnorm
106,300,300000,0 days 00:11:34.071792000,ACER,1,200,-118.29920000000003,-115.02383333333358,9.0088,9.6925,163.9356,158.9503,truncnorm
138,300,300000,0 days 00:11:28.494816000,ACER,1,100,-65.47853333333373,-63.30439999999977,7.6495,8.9456,175.1583,163.0764,truncnorm
142,300,300000,0 days 00:11:24.383433000,ACER,1,50,-37.82406666666698,-35.079933333333685,6.5471,7.4152,188.3344,165.9884,truncnorm
143,300,300000,0 days 00:11:42.511605000,ACER,1,1,-7.102628666666555,-6.049121666666723,5.953,5.3685,344.8886,204.1865,truncnorm
144,300,300000,0 days 00:35:23.832656000,ACER,1,1000,-525.387066666668,-582.4109666666645,16.0854,83.0353,154.6867,172.2624,truncnorm
145,300,300000,0 days 00:11:32.353094000,ACER,1,750,-400.52235,-407.57725,14.5946,14.6075,155.2219,157.1879,truncnorm
146,300,300000,0 days 00:17:42.197084000,ACER,1,500,-272.063433333331,-277.2222333333327,12.7806,20.8659,159.0511,157.7295,truncnorm
147,300,300000,0 days 07:30:20.816155000,ACER,1,400,-220.65336666666545,-226.96133333333452,11.4883,23.0816,156.8738,156.7646,truncnorm
148,300,300000,0 days 00:11:55.775945000,ACER,1,300,-169.4864,-171.7812,10.6897,16.6479,161.3068,159.9257,truncnorm
149,300,300000,0 days 00:11:27.859037000,ACER,1,200,-118.26903333333354,-120.12359999999921,9.0667,16.1864,163.8035,160.7007,truncnorm
150,300,300000,0 days 00:11:34.865485000,ACER,1,100,-65.11303333333323,-61.932,7.5635,8.899,174.3113,159.099,truncnorm
151,300,300000,0 days 00:12:07.756092000,ACER,1,50,-37.61106666666691,-35.21813333333349,6.4974,7.8028,187.3467,166.1152,truncnorm
152,300,300000,0 days 00:11:53.530853000,ACER,1,1,-7.038030666666574,-6.353060333333164,5.9055,5.6128,339.7592,222.0781,truncnorm
153,300,300000,0 days 00:12:58.358927000,ACER,1,1000,-523.7735333333333,-533.2366666666678,15.9342,23.177,154.2543,156.8758,truncnorm
154,300,300000,0 days 00:17:46.618942000,ACER,1,750,-399.7217,-457.1765,14.4632,82.9505,154.9564,172.162,truncnorm
155,300,300000,0 days 00:16:49.452086000,ACER,1,500,-273.6849666666653,-285.00663333333193,12.9868,32.2068,159.8979,157.6454,truncnorm
159,300,3000,0 days 00:00:25.529182000,ACER,1,1000,-524.5715333333319,-2353.609400000004,15.9192,9.2694,152.5957,703.302,truncnorm
160,300,3000,0 days 00:00:10.232084000,ACER,1,1000,-527.7717333333333,-1217.6333000000068,16.3524,6.5943,153.4258,363.3117,truncnorm
161,300,3000,0 days 00:00:11.430756000,ACER,1,750,-399.81225,-719.30385,14.2055,6.2486,154.2427,285.2221,truncnorm
162,300,3000,0 days 00:00:10.653610000,ACER,1,500,-273.5488666666653,-764.9920666666582,12.6267,8.7079,156.5533,453.7705,truncnorm
163,300,3000,0 days 00:00:10.538016000,ACER,1,400,-221.08823333333243,-260.03163333333356,11.4545,7.7119,157.2253,189.2398,truncnorm
164,300,3000,0 days 00:00:07.961444000,ACER,1,300,-169.5886,-1423.4647,10.4056,13.5215,159.183,1409.9432,truncnorm
165,300,3000,0 days 00:00:07.284603000,ACER,1,200,-118.13763333333314,-121.32226666666628,9.0847,12.4208,163.5794,163.3522,truncnorm
166,300,3000,0 days 00:00:07.526758000,ACER,1,100,-65.24989999999984,-110.17440000000079,7.4621,7.16,173.3634,309.0432,truncnorm
167,300,3000,0 days 00:00:07.495059000,ACER,1,50,-37.749333333333546,-40.19469999999978,6.536,13.3952,187.28,160.797,truncnorm
168,300,3000,0 days 00:00:07.384994000,ACER,1,1,-7.081874666666545,-9.92241799999999,5.9363,8.1436,343.6724,533.6454,truncnorm
169,300,300000,0 days 00:20:39.100284000,ACER,1,1000,-525.2279666666657,-610.3621333333348,15.9833,111.6518,152.7734,149.6131,truncnorm
169,300,300000,0 days 00:20:31.666293000,ACER,1,1000,-525.8448999999993,-648.5244999999977,16.0989,149.6595,152.9238,149.6595,truncnorm
170,300,300000,0 days 00:19:58.601319000,ACER,1,750,-399.6113,-406.6124,14.2598,27.4644,154.1406,151.6592,truncnorm
170,300,300000,0 days 00:20:07.544576000,ACER,1,750,-399.56965,-446.69375,14.2699,72.054,154.1199,149.8559,truncnorm
171,300,300000,0 days 00:20:33.689981000,ACER,1,500,-272.71369999999723,-277.80286666666694,12.5377,16.0712,156.1056,157.039,truncnorm
171,300,300000,0 days 00:20:41.552305000,ACER,1,500,-271.8664333333312,-276.3361333333344,12.4051,18.5158,155.6768,154.6922,truncnorm
172,300,300000,0 days 00:21:15.358056000,ACER,1,400,-221.40129999999843,-237.26436666666487,11.5345,24.2753,157.4001,159.7418,truncnorm
172,300,300000,0 days 00:21:15.127434000,ACER,1,400,-222.16619999999753,-254.66316666666566,11.641,53.8229,157.8939,150.6302,truncnorm
173,300,300000,0 days 00:20:47.144925000,ACER,1,300,-169.239,-175.9155,10.2895,13.988,158.9495,161.9275,truncnorm
173,300,300000,0 days 00:20:47.002500000,ACER,1,300,-169.3206,-172.0114,10.2907,16.953,159.0299,155.0584,truncnorm
174,300,300000,0 days 00:20:47.513418000,ACER,1,200,-118.43566666666672,-120.36343333333365,9.123,15.6203,163.969,157.1147,truncnorm
174,300,300000,0 days 00:20:53.181704000,ACER,1,200,-118.59863333333311,-116.30353333333328,9.1415,9.409,164.1857,160.3418,truncnorm
175,300,300000,0 days 00:23:54.355448000,ACER,1,100,-65.32433333333297,-62.97256666666673,7.4989,9.6936,173.4763,159.8369,truncnorm
175,300,300000,0 days 00:23:46.359032000,ACER,1,100,-65.21153333333311,-66.32340000000003,7.4627,10.2578,173.2465,168.1968,truncnorm
176,300,300000,0 days 00:25:36.233852000,ACER,1,50,-37.81523333333341,-35.13651666666662,6.5857,6.4906,187.3772,171.8755,truncnorm
176,300,300000,0 days 00:25:32.572737000,ACER,1,50,-37.75689999999995,-34.701483333333194,6.5295,6.5215,187.3644,169.0799,truncnorm
177,300,600000,0 days 00:39:12.968941000,ACER,1,1000,-535.5796999999991,-581.6961333333354,24.8777,14.3348,153.2106,170.2084,uniform
177,300,300000,0 days 00:24:47.646554000,ACER,1,1,-7.215225666666884,-6.312553333333303,6.0003,5.534,364.4777,233.566,truncnorm
177,300,300000,0 days 00:20:22.276783000,ACER,1,1000,-528.3111333333321,-574.7713333333348,16.3648,72.993,153.5839,150.5335,truncnorm
178,300,300000,0 days 00:31:22.913633000,ACER,1,1000,-526.2543333333307,-607.6020333333319,16.09,111.0127,153.0493,148.9768,truncnorm
178,300,600000,0 days 01:02:40.398429000,ACER,1,750,-411.09655,-454.61465,22.8623,17.6444,155.2937,174.7881,uniform
178,300,300000,0 days 00:31:46.638027000,ACER,1,750,-399.20045,-410.9594,14.2147,32.7984,153.9943,151.2644,truncnorm
179,300,300000,0 days 00:31:19.598193000,ACER,1,750,-793.34015,-408.59675,5.8304,14.0595,315.0039,157.8149,truncnorm
179,300,600000,0 days 00:59:11.645794000,ACER,1,500,-280.0811666666665,-303.6852666666679,19.363,41.0486,156.4309,157.582,uniform
180,300,600000,0 days 00:37:21.595786000,ACER,1,400,-226.41929999999948,-238.34963333333428,17.6957,13.5727,156.5427,168.5827,uniform
179,300,300000,0 days 00:18:18.675368000,ACER,1,500,-271.53436666666596,-286.686666666666,12.3482,11.565,155.5117,165.073,truncnorm
